grid_x,grid_y,predicted_sinr
19,0,27.818542
16,1,27.580326
17,1,27.580326
18,1,27.688269
13,2,27.580326
17,2,27.580326
18,2,27.688269
19,2,27.818542
20,2,27.90158
12,3,27.685076
13,3,27.580326
14,3,27.580326
15,3,27.580326
16,3,27.580326
17,3,27.580326
18,3,27.688269
19,3,27.818542
20,3,27.90158
21,3,27.90158
6,4,27.941402
7,4,27.941402
8,4,27.941402
9,4,30.017214
10,4,26.511053
11,4,27.667532
12,4,27.685076
13,4,27.580326
14,4,27.580326
15,4,27.580326
16,4,27.580326
17,4,27.580326
18,4,27.688269
19,4,27.818542
20,4,27.90158
21,4,27.90158
6,5,28.38129
7,5,28.38129
8,5,28.38129
9,5,30.645998
10,5,27.298529
11,5,28.953444
12,5,28.99006
13,5,28.885105
14,5,28.885105
15,5,28.885105
16,5,28.885105
17,5,28.885105
18,5,28.923996
19,5,28.747751
20,5,27.951332
21,5,27.951332
5,6,28.536282
6,6,28.536282
7,6,28.536282
8,6,28.536282
9,6,30.845448
10,6,27.398325
11,6,29.053247
12,6,29.11381
13,6,29.008852
14,6,29.008852
15,6,28.997942
16,6,28.997942
17,6,28.997942
18,6,29.003735
19,6,28.813292
20,6,27.951332
21,6,27.951332
5,7,28.536282
6,7,28.536282
7,7,28.536282
8,7,28.536282
9,7,30.845448
10,7,27.398325
11,7,29.053247
12,7,29.11381
13,7,29.008852
14,7,29.008852
15,7,28.997942
16,7,28.997942
17,7,28.997942
18,7,29.003735
19,7,28.813292
20,7,27.951332
21,7,27.951332
7,8,28.536282
8,8,28.536282
9,8,30.845448
10,8,27.3962
11,8,29.052053
12,8,29.114504
13,8,29.009241
14,8,29.009241
15,8,28.998331
16,8,28.998331
17,8,28.998331
18,8,29.003735
19,8,28.813292
20,8,27.951332
21,8,27.951332
7,9,28.56823
8,9,28.56823
9,9,30.877392
10,9,27.402214
11,9,29.064064
12,9,29.126514
13,9,29.02125
14,9,29.02125
15,9,29.010344
16,9,29.010344
17,9,29.010344
18,9,29.015745
19,9,28.832571
20,9,27.938665
21,9,27.938665
22,9,27.938665
6,10,28.56823
7,10,28.56823
8,10,28.56823
9,10,30.877392
10,10,27.402214
11,10,29.064064
12,10,29.126514
13,10,29.02125
14,10,29.02125
15,10,29.010344
16,10,29.010344
17,10,29.010344
18,10,29.015745
19,10,28.832571
20,10,27.938665
21,10,27.938665
22,10,27.938665
6,11,28.122448
7,11,28.122448
8,11,28.122448
9,11,30.328266
10,11,26.694881
11,11,28.707653
12,11,28.770107
13,11,28.694891
14,11,28.694891
15,11,28.683985
16,11,28.683985
17,11,28.683985
18,11,28.689383
19,11,28.636229
20,11,27.938665
21,11,27.938665
22,11,27.938665
24,11,20.748987
7,12,27.913803
8,12,27.913803
9,12,30.109112
10,12,26.333984
11,12,28.398321
12,12,28.460768
13,12,28.448381
14,12,28.448381
15,12,28.437471
16,12,28.437471
17,12,28.437471
18,12,28.189898
19,12,27.729258
20,12,26.99938
21,12,26.99938
22,12,26.99938
23,12,20.112745
24,12,20.112745
25,12,20.112745
8,13,27.913803
9,13,30.109112
10,13,26.333984
11,13,28.735144
12,13,28.824402
13,13,28.813204
14,13,28.813204
15,13,28.93675
16,13,28.93675
17,13,28.93675
18,13,28.553944
19,13,28.075665
20,13,27.269123
21,13,27.269123
22,13,27.269123
23,13,20.577274
24,13,20.577274
25,13,20.577274
39,13,21.124794
7,14,28.37942
8,14,28.37942
9,14,30.55114
10,14,27.885637
11,14,30.007338
12,14,30.575062
13,14,30.573553
14,14,30.573553
15,14,30.70577
16,14,30.70577
17,14,30.70577
18,14,30.015263
19,14,29.046814
20,14,28.112263
21,14,28.112263
22,14,28.112263
23,14,20.716263
24,14,20.716263
25,14,20.716263
35,14,21.232447
4,15,28.31648
5,15,28.31648
6,15,28.31648
7,15,28.31648
8,15,28.31648
9,15,30.488207
10,15,27.371733
11,15,29.356852
12,15,29.928112
13,15,29.84508
14,15,29.84508
15,15,29.938028
16,15,29.938028
17,15,29.938028
18,15,29.400747
19,15,29.079437
20,15,28.144888
21,15,28.144888
22,15,28.144888
23,15,20.748888
24,15,20.748888
25,15,20.748888
31,15,21.24614
32,15,21.24614
2,16,28.212938
6,16,28.212938
7,16,28.212938
8,16,28.212938
9,16,30.38466
10,16,27.301311
11,16,29.179253
12,16,29.716038
13,16,29.617556
14,16,29.617556
15,16,29.66284
16,16,29.66284
17,16,29.66284
18,16,29.230158
19,16,29.07914
20,16,28.144888
21,16,28.144888
22,16,28.144888
23,16,20.748888
24,16,20.748888
25,16,20.748888
28,16,21.220837
29,16,21.220837
30,16,21.24614
34,16,21.24614
35,16,21.24614
36,16,21.24614
37,16,21.24614
38,16,21.24614
9,17,30.38466
10,17,27.301311
11,17,29.179253
12,17,29.716038
13,17,29.617556
14,17,29.617556
15,17,29.66284
16,17,29.66284
17,17,29.66284
18,17,29.230158
19,17,29.25448
20,17,25.09176
21,17,28.909662
22,17,28.909662
23,17,27.55903
24,17,27.55903
25,17,27.55903
26,17,27.941729
27,17,27.941729
28,17,26.330433
29,17,26.330433
30,17,26.355736
31,17,26.355736
32,17,26.355736
33,17,26.355736
10,18,27.301311
11,18,29.179253
12,18,29.716038
13,18,29.617556
14,18,29.617556
15,18,29.66284
16,18,29.66284
17,18,29.66284
18,18,29.230158
19,18,29.25448
20,18,25.09176
21,18,28.909662
22,18,28.909662
23,18,27.55903
24,18,27.55903
25,18,27.55903
26,18,27.941729
10,19,27.34562
11,19,29.22356
12,19,29.760344
13,19,29.661861
14,19,29.661861
15,19,29.707148
16,19,29.707148
17,19,29.707148
18,19,29.510061
19,19,30.110746
20,19,25.937391
21,19,29.912436
22,19,29.912436
23,19,28.87263
24,19,28.87263
25,19,28.87263
26,19,28.87263
8,20,28.216253
10,20,27.233604
11,20,29.078781
12,20,29.554996
13,20,29.414381
14,20,29.414381
15,20,29.45257
16,20,29.45257
17,20,29.45257
18,20,29.088963
19,20,28.890072
20,20,24.560736
21,20,27.562613
22,20,27.562613
23,20,26.735434
24,20,27.378216
25,20,27.378216
26,20,27.41218
9,21,30.387974
10,21,27.233604
11,21,29.078781
12,21,29.554996
13,21,29.414381
14,21,29.414381
15,21,29.45257
16,21,29.45257
17,21,29.45257
18,21,29.088963
19,21,28.890072
20,21,24.560736
21,21,27.562613
22,21,27.562613
23,21,26.735434
24,21,27.378216
25,21,27.378216
26,21,27.41218
9,22,30.285381
10,22,27.135746
11,22,28.76522
12,22,28.833633
13,22,28.587332
14,22,28.587332
15,22,28.008406
16,22,28.008406
17,22,28.008406
18,22,27.75262
19,22,27.737278
20,22,23.962816
21,22,26.964693
22,22,26.964693
23,22,26.735434
24,22,27.378216
25,22,27.378216
26,22,27.41218
27,22,27.41218
2,23,28.142626
3,23,28.142626
4,23,28.142626
7,23,28.142626
8,23,28.142626
9,23,30.285381
10,23,27.135746
11,23,28.76522
12,23,28.833633
13,23,28.587332
14,23,28.587332
15,23,28.008406
16,23,28.008406
17,23,28.008406
18,23,27.75262
19,23,27.737278
20,23,23.962816
21,23,26.964693
22,23,26.964693
23,23,26.735434
24,23,27.378216
25,23,27.378216
26,23,27.41218
27,23,27.41218
2,24,28.142626
3,24,28.142626
4,24,28.142626
5,24,28.142626
6,24,28.142626
7,24,28.142626
8,24,28.142626
9,24,30.285381
10,24,27.135746
11,24,28.76522
12,24,28.833633
13,24,28.587332
14,24,28.587332
15,24,28.008406
16,24,28.008406
17,24,28.008406
18,24,27.75262
19,24,27.737278
20,24,23.962816
21,24,26.964693
22,24,26.964693
23,24,26.735434
24,24,27.378216
25,24,27.378216
26,24,27.41218
27,24,27.41218
28,24,26.723185
2,25,28.142626
3,25,28.142626
4,25,28.142626
5,25,28.142626
6,25,28.142626
7,25,28.142626
8,25,28.142626
9,25,30.285381
10,25,27.135746
11,25,28.76522
12,25,28.833633
13,25,28.587332
14,25,28.587332
15,25,28.008406
16,25,28.008406
17,25,28.008406
18,25,27.75262
19,25,27.737278
20,25,23.962816
21,25,26.964693
22,25,26.964693
23,25,26.735434
24,25,27.378216
25,25,27.378216
28,25,26.723185
2,26,28.152927
3,26,28.152927
4,26,28.152927
5,26,28.152927
7,26,28.152927
8,26,28.152927
9,26,30.118298
10,26,27.18184
11,26,28.636152
12,26,28.704561
13,26,28.169884
14,26,28.169884
15,26,27.563831
16,26,27.563831
17,26,27.563831
18,26,27.265053
19,26,27.273857
20,26,23.979967
21,26,26.981844
22,26,26.981844
23,26,26.743832
24,26,27.386618
25,26,27.386618
27,26,27.42058
3,27,28.152927
4,27,28.152927
6,27,28.152927
7,27,28.152927
8,27,28.152927
11,27,28.636152
12,27,28.704561
13,27,28.169884
14,27,28.169884
15,27,27.563831
16,27,27.563831
17,27,27.563831
18,27,27.265053
19,27,27.273857
20,27,23.979967
21,27,26.981844
22,27,26.981844
23,27,26.743832
24,27,27.386618
25,27,27.386618
26,27,27.42058
27,27,27.42058
28,27,26.729494
11,28,28.636152
12,28,28.704561
13,28,28.169884
14,28,28.169884
15,28,27.563831
16,28,27.563831
17,28,27.563831
18,28,27.265053
19,28,27.273857
20,28,23.979967
21,28,26.981844
22,28,26.981844
23,28,26.743832
24,28,27.386618
25,28,27.386618
26,28,27.42058
27,28,27.42058
28,28,26.729494
8,29,27.495855
11,29,27.570786
12,29,27.580692
13,29,26.19719
14,29,26.19719
15,29,25.83464
16,29,25.83464
17,29,25.83464
18,29,26.000872
19,29,26.087618
20,29,24.065506
21,29,27.067387
22,29,27.067387
23,29,26.744963
24,29,27.386618
25,29,27.386618
26,29,27.42058
27,29,27.42058
28,29,26.729494
8,30,27.495855
9,30,28.759909
10,30,27.161877
11,30,27.570786
12,30,27.580692
13,30,26.198343
14,30,26.198343
15,30,25.835794
16,30,25.835794
17,30,25.835794
18,30,26.048065
19,30,26.196507
20,30,24.203333
21,30,27.616213
22,30,27.616213
23,30,28.140299
24,30,28.77939
25,30,28.77939
26,30,28.813353
30,30,28.365664
10,31,27.161877
11,31,27.570786
12,31,27.580692
13,31,26.198343
14,31,26.198343
15,31,25.835794
16,31,25.835794
17,31,25.835794
18,31,26.048065
19,31,26.196507
20,31,24.203333
21,31,27.616213
22,31,27.616213
23,31,28.140299
24,31,28.77939
25,31,28.77939
26,31,28.813353
27,31,28.813353
28,31,28.353209
12,32,27.566376
13,32,26.186392
14,32,26.186392
15,32,25.823843
16,32,25.823843
17,32,25.823843
18,32,26.03611
19,32,26.248692
20,32,24.279806
21,32,27.692686
22,32,27.692686
23,32,28.216772
24,32,28.855856
25,32,28.855856
26,32,28.889818
27,32,28.889818
10,33,26.508125
12,33,26.830626
13,33,25.500223
14,33,25.500223
15,33,25.230742
16,33,25.230742
17,33,25.230742
18,33,25.256746
19,33,24.82828
20,33,22.839651
21,33,26.252527
22,33,26.252527
23,33,26.252527
24,33,26.471724
25,33,26.471724
26,33,26.505682
27,33,26.505682
12,34,26.830626
13,34,25.500223
14,34,25.500223
15,34,25.230742
16,34,25.230742
17,34,25.230742
18,34,25.256746
19,34,24.82828
20,34,22.839651
21,34,26.252527
22,34,26.252527
23,34,26.252527
25,34,26.471724
12,35,26.830626
13,35,25.500223
14,35,25.500223
15,35,25.230742
16,35,25.230742
17,35,25.230742
18,35,25.256746
13,36,25.500223
14,36,25.500223
16,36,25.230742
14,37,25.500223
