X,Y,Measured
152,126,0
152,126,0
152,126,0
154,125,0
164,121,0
205,100,0
205,100,0
206,100,0
236,97,0
275,93,0
302,84,0
335,74,0
354,68,0
378,61,0
413,51,0
439,42,0
466,33,0
480,28,0
509,21,0
534,14,0
534,14,0
581,42,0
586,47,0
586,47,0
591,55,0
591,55,0
591,55,0
607,93,0
607,93,0
607,93,0
607,93,0
607,93,0
607,93,0
607,93,0
607,93,0
607,93,0
1078,385,0
1078,385,0
1078,385,0
1078,385,0
152,126,0
152,126,0
152,126,0
152,126,0
164,121,0
187,111,0
205,100,0
206,100,0
236,97,0
275,93,0
302,84,0
325,77,0
354,68,0
378,61,0
399,54,0
428,46,0
453,40,0
480,40,0
507,40,0
534,52,0
565,42,0
586,47,0
591,55,0
591,55,0
591,55,0
607,93,0
607,93,0
607,93,0
607,93,0
607,93,0
607,93,0
607,93,0
607,93,0
607,93,0
607,93,0
1057,390,0
1078,385,0
1078,385,0
1078,385,0
1078,385,0
130,159,0
152,126,0
152,126,0
152,126,0
154,125,0
164,121,0
205,100,0
206,100,0
236,97,0
275,93,0
302,84,0
319,79,0
347,70,0
372,67,0
398,67,0
422,64,0
453,68,0
480,67,0
507,67,0
534,67,0
562,67,0
588,67,0
591,60,0
607,93,0
607,93,0
607,93,0
607,93,0
607,93,0
607,93,0
607,93,0
607,93,0
607,93,0
607,93,0
607,93,0
976,401,0
976,401,0
1078,385,0
1078,385,0
1078,385,0
1078,385,0
130,159,0
130,159,0
152,126,0
152,126,0
152,126,0
164,121,0
187,111,0
206,100,0
236,97,0
262,98,0
287,92,0
317,95,0
344,93,0
372,93,0
399,93,0
426,93,0
453,93,0
480,93,0
507,93,0
534,93,0
562,93,0
589,93,0
607,93,0
607,93,0
607,93,0
607,93,0
607,93,0
607,93,0
607,93,0
607,93,0
607,93,0
607,93,0
607,93,0
679,281,0
976,401,0
976,401,0
1057,390,0
1078,385,0
1078,385,0
1078,385,0
130,159,0
130,159,0
130,159,0
133,156,0
152,126,0
154,125,0
181,120,0
209,120,0
236,120,0
263,120,0
290,120,0
317,120,0
344,120,0
372,120,0
399,120,0
426,120,1
453,120,0
480,120,0
507,120,0
534,120,1
562,120,0
589,120,0
602,120,0
602,120,0
607,99,0
607,99,0
607,99,0
607,99,0
607,99,0
620,192,0
679,281,0
679,281,0
679,281,0
703,311,0
976,401,0
976,401,0
1057,390,0
1078,385,0
1078,385,0
1078,385,0
130,159,0
130,159,0
130,159,0
130,159,0
133,156,0
153,147,0
181,146,0
209,146,0
236,146,1
263,146,0
290,146,0
317,146,0
344,146,0
372,146,0
399,146,0
426,146,0
453,146,0
480,146,0
507,146,0
534,146,0
562,146,0
589,146,0
604,144,0
604,144,0
604,144,0
620,192,0
620,192,0
620,192,0
620,192,0
679,281,0
679,281,0
679,281,0
703,311,0
976,401,0
976,401,0
976,401,0
1057,390,0
1078,385,0
1078,385,0
1078,385,0
130,160,0
130,160,0
130,160,0
131,163,0
135,170,0
154,173,0
181,173,0
209,173,0
236,173,0
263,173,0
290,173,0
317,173,0
344,173,1
372,173,0
399,173,0
426,173,0
453,173,0
480,173,0
507,173,0
534,173,0
562,173,0
589,173,0
608,177,0
620,192,0
620,192,0
620,192,0
620,192,0
679,281,0
679,281,0
679,281,0
679,281,0
703,311,0
703,311,0
976,401,0
976,401,0
976,401,0
1057,390,0
1078,385,0
1078,385,0
1078,385,0
131,163,0
138,189,0
138,189,0
138,189,0
140,193,0
154,200,0
181,200,0
209,200,0
236,200,0
263,200,0
290,200,0
317,200,0
344,200,0
372,200,0
399,200,0
426,200,0
453,200,0
480,200,0
507,200,0
534,200,0
562,200,0
589,200,0
615,200,0
620,193,0
623,214,0
623,214,0
679,281,0
679,281,0
679,281,0
679,281,0
703,311,0
703,311,0
926,410,0
976,401,0
976,401,0
976,401,0
1050,392,0
1078,385,0
1078,385,0
1078,385,0
138,189,0
138,189,0
144,210,0
145,214,0
145,214,0
153,226,0
184,226,0
209,226,0
236,226,0
263,226,0
290,226,0
317,226,0
344,226,0
372,226,0
399,226,0
426,226,0
453,226,0
480,226,0
507,226,1
534,226,0
562,226,0
589,226,0
617,226,0
627,233,0
637,254,0
679,281,0
679,281,0
679,281,0
703,311,0
703,311,0
703,311,0
703,311,0
926,410,0
926,410,0
976,401,0
976,401,0
1043,394,0
1057,390,0
1078,385,0
1078,385,0
145,214,0
145,214,0
152,237,0
153,243,0
153,243,0
156,250,0
181,254,0
209,253,0
236,253,0
263,253,1
290,253,0
317,253,0
344,253,0
372,253,1
399,253,0
426,253,0
453,253,0
480,253,0
507,253,0
534,253,0
562,253,0
589,253,0
616,253,0
637,254,0
665,278,0
679,281,0
679,281,0
703,311,0
703,311,0
703,311,0
710,324,0
710,324,0
926,410,0
926,410,0
976,401,0
976,401,0
997,401,0
1057,390,0
1078,385,0
1078,385,0
153,243,0
153,243,0
154,246,0
160,260,0
163,269,0
165,280,0
181,279,0
209,279,0
236,279,0
263,279,0
290,279,0
317,279,0
344,279,0
372,279,0
399,279,0
426,279,0
453,279,0
480,279,0
507,279,0
534,279,0
562,279,0
589,279,0
616,279,0
644,282,0
670,281,0
679,281,0
703,311,0
703,311,0
710,324,0
710,324,0
710,324,0
891,419,0
926,410,0
926,410,0
976,401,0
976,401,0
997,401,0
1057,390,0
1078,385,0
1078,385,0
62,445,0
165,302,0
165,302,0
165,302,0
165,302,0
165,302,0
181,306,0
209,306,0
236,306,0
263,306,0
290,306,0
317,306,0
344,306,0
372,306,0
399,306,0
426,306,0
453,306,0
480,306,0
507,306,0
534,306,0
562,306,0
589,306,1
616,306,0
643,305,0
670,306,0
699,311,0
705,316,0
