X,Y,Point_Index
152,126,1
152,126,2
152,126,3
154,125,4
164,121,5
205,100,6
205,100,7
206,100,8
236,97,9
275,93,10
302,84,11
335,74,12
354,68,13
378,61,14
413,51,15
439,42,16
466,33,17
480,28,18
509,21,19
534,14,20
534,14,21
581,42,22
586,47,23
586,47,24
591,55,25
591,55,26
591,55,27
607,93,28
607,93,29
607,93,30
607,93,31
607,93,32
607,93,33
607,93,34
607,93,35
607,93,36
1078,385,37
1078,385,38
1078,385,39
1078,385,40
152,126,41
152,126,42
152,126,43
152,126,44
164,121,45
187,111,46
205,100,47
206,100,48
236,97,49
275,93,50
302,84,51
325,77,52
354,68,53
378,61,54
399,54,55
428,46,56
453,40,57
480,40,58
507,40,59
534,52,60
565,42,61
586,47,62
591,55,63
591,55,64
591,55,65
607,93,66
607,93,67
607,93,68
607,93,69
607,93,70
607,93,71
607,93,72
607,93,73
607,93,74
607,93,75
1057,390,76
1078,385,77
1078,385,78
1078,385,79
1078,385,80
130,159,81
152,126,82
152,126,83
152,126,84
154,125,85
164,121,86
205,100,87
206,100,88
236,97,89
275,93,90
302,84,91
319,79,92
347,70,93
372,67,94
398,67,95
422,64,96
453,68,97
480,67,98
507,67,99
534,67,100
562,67,101
588,67,102
591,60,103
607,93,104
607,93,105
607,93,106
607,93,107
607,93,108
607,93,109
607,93,110
607,93,111
607,93,112
607,93,113
607,93,114
976,401,115
976,401,116
1078,385,117
1078,385,118
1078,385,119
1078,385,120
130,159,121
130,159,122
152,126,123
152,126,124
152,126,125
164,121,126
187,111,127
206,100,128
236,97,129
262,98,130
287,92,131
317,95,132
344,93,133
372,93,134
399,93,135
426,93,136
453,93,137
480,93,138
507,93,139
534,93,140
562,93,141
589,93,142
607,93,143
607,93,144
607,93,145
607,93,146
607,93,147
607,93,148
607,93,149
607,93,150
607,93,151
607,93,152
607,93,153
679,281,154
976,401,155
976,401,156
1057,390,157
1078,385,158
1078,385,159
1078,385,160
130,159,161
130,159,162
