x,y,mask
19.0,14.0,0
46.0,14.0,0
73.0,14.0,0
100.0,14.0,0
127.0,14.0,0
154.0,14.0,0
181.0,14.0,0
209.0,14.0,0
236.0,14.0,0
263.0,14.0,0
290.0,14.0,0
317.0,14.0,0
344.0,14.0,0
372.0,14.0,0
399.0,14.0,0
426.0,14.0,0
453.0,14.0,0
480.0,14.0,0
507.0,14.0,0
534.0,14.0,0
562.0,14.0,0
589.0,14.0,0
616.0,14.0,0
643.0,14.0,0
670.0,14.0,0
697.0,14.0,0
725.0,14.0,0
752.0,14.0,0
779.0,14.0,0
806.0,14.0,0
833.0,14.0,0
860.0,14.0,0
887.0,14.0,0
915.0,14.0,0
942.0,14.0,0
969.0,14.0,0
996.0,14.0,0
1023.0,14.0,0
1050.0,14.0,0
1078.0,14.0,0
19.0,40.0,0
46.0,40.0,0
73.0,40.0,0
100.0,40.0,0
127.0,40.0,0
154.0,40.0,0
181.0,40.0,0
209.0,40.0,0
236.0,40.0,0
263.0,40.0,0
290.0,40.0,0
317.0,40.0,0
344.0,40.0,0
372.0,40.0,0
399.0,40.0,0
426.0,40.0,0
453.0,40.0,0
480.0,40.0,0
507.0,40.0,0
534.0,40.0,0
562.0,40.0,0
589.0,40.0,0
616.0,40.0,0
643.0,40.0,0
670.0,40.0,0
697.0,40.0,0
725.0,40.0,0
752.0,40.0,0
779.0,40.0,0
806.0,40.0,0
833.0,40.0,0
860.0,40.0,0
887.0,40.0,0
915.0,40.0,0
942.0,40.0,0
969.0,40.0,0
996.0,40.0,0
1023.0,40.0,0
1050.0,40.0,0
1078.0,40.0,0
19.0,67.0,0
46.0,67.0,0
73.0,67.0,0
100.0,67.0,0
127.0,67.0,0
154.0,67.0,0
181.0,67.0,0
209.0,67.0,0
236.0,67.0,0
263.0,67.0,0
290.0,67.0,0
317.0,67.0,0
344.0,67.0,0
372.0,67.0,0
399.0,67.0,0
426.0,67.0,0
453.0,67.0,0
480.0,67.0,0
507.0,67.0,0
534.0,67.0,0
562.0,67.0,0
589.0,67.0,0
616.0,67.0,0
643.0,67.0,0
670.0,67.0,0
697.0,67.0,0
725.0,67.0,0
752.0,67.0,0
779.0,67.0,0
806.0,67.0,0
833.0,67.0,0
860.0,67.0,0
887.0,67.0,0
915.0,67.0,0
942.0,67.0,0
969.0,67.0,0
996.0,67.0,0
1023.0,67.0,0
1050.0,67.0,0
1078.0,67.0,0
19.0,93.0,0
46.0,93.0,0
73.0,93.0,0
100.0,93.0,0
127.0,93.0,0
154.0,93.0,0
181.0,93.0,0
209.0,93.0,0
236.0,93.0,0
263.0,93.0,0
290.0,93.0,0
317.0,93.0,0
344.0,93.0,0
372.0,93.0,0
399.0,93.0,0
426.0,93.0,0
453.0,93.0,0
480.0,93.0,0
507.0,93.0,0
534.0,93.0,0
562.0,93.0,0
589.0,93.0,0
616.0,93.0,0
643.0,93.0,0
670.0,93.0,0
697.0,93.0,0
725.0,93.0,0
752.0,93.0,0
779.0,93.0,0
806.0,93.0,0
833.0,93.0,0
860.0,93.0,0
887.0,93.0,0
915.0,93.0,0
942.0,93.0,0
969.0,93.0,0
996.0,93.0,0
1023.0,93.0,0
1050.0,93.0,0
1078.0,93.0,0
19.0,120.0,0
46.0,120.0,0
73.0,120.0,0
100.0,120.0,0
127.0,120.0,0
154.0,120.0,0
181.0,120.0,0
209.0,120.0,0
236.0,120.0,0
263.0,120.0,0
290.0,120.0,0
317.0,120.0,0
344.0,120.0,0
372.0,120.0,0
399.0,120.0,0
426.0,120.0,1
453.0,120.0,0
480.0,120.0,0
507.0,120.0,0
534.0,120.0,1
562.0,120.0,0
589.0,120.0,0
616.0,120.0,0
643.0,120.0,0
670.0,120.0,0
697.0,120.0,0
725.0,120.0,0
752.0,120.0,0
779.0,120.0,0
806.0,120.0,0
833.0,120.0,0
860.0,120.0,0
887.0,120.0,0
915.0,120.0,0
942.0,120.0,0
969.0,120.0,0
996.0,120.0,0
1023.0,120.0,0
1050.0,120.0,0
1078.0,120.0,0
19.0,146.0,0
46.0,146.0,0
73.0,146.0,0
100.0,146.0,0
127.0,146.0,0
154.0,146.0,0
181.0,146.0,0
209.0,146.0,0
236.0,146.0,1
263.0,146.0,0
290.0,146.0,0
317.0,146.0,0
344.0,146.0,0
372.0,146.0,0
399.0,146.0,0
426.0,146.0,0
453.0,146.0,0
480.0,146.0,0
507.0,146.0,0
534.0,146.0,0
562.0,146.0,0
589.0,146.0,0
616.0,146.0,0
643.0,146.0,0
670.0,146.0,0
697.0,146.0,0
725.0,146.0,0
752.0,146.0,0
779.0,146.0,0
806.0,146.0,0
833.0,146.0,0
860.0,146.0,0
887.0,146.0,0
915.0,146.0,0
942.0,146.0,0
969.0,146.0,0
996.0,146.0,0
1023.0,146.0,0
1050.0,146.0,0
1078.0,146.0,0
19.0,173.0,0
46.0,173.0,0
73.0,173.0,0
100.0,173.0,0
127.0,173.0,0
154.0,173.0,0
181.0,173.0,0
209.0,173.0,0
236.0,173.0,0
263.0,173.0,0
290.0,173.0,0
317.0,173.0,0
344.0,173.0,1
372.0,173.0,0
399.0,173.0,0
426.0,173.0,0
453.0,173.0,0
480.0,173.0,0
507.0,173.0,0
534.0,173.0,0
562.0,173.0,0
589.0,173.0,0
616.0,173.0,0
643.0,173.0,0
670.0,173.0,0
697.0,173.0,0
725.0,173.0,0
752.0,173.0,0
779.0,173.0,0
806.0,173.0,0
833.0,173.0,0
860.0,173.0,0
887.0,173.0,0
915.0,173.0,0
942.0,173.0,0
969.0,173.0,0
996.0,173.0,0
1023.0,173.0,0
1050.0,173.0,0
1078.0,173.0,0
19.0,200.0,0
46.0,200.0,0
73.0,200.0,0
100.0,200.0,0
127.0,200.0,0
154.0,200.0,0
181.0,200.0,0
209.0,200.0,0
236.0,200.0,0
263.0,200.0,0
290.0,200.0,0
317.0,200.0,0
344.0,200.0,0
372.0,200.0,0
399.0,200.0,0
426.0,200.0,0
453.0,200.0,0
480.0,200.0,0
507.0,200.0,0
534.0,200.0,0
562.0,200.0,0
589.0,200.0,0
616.0,200.0,0
643.0,200.0,0
670.0,200.0,0
